stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AAPL,174.789993,4.800948356266389,6.433201832933073,7.417949977461944,9.383773841652605,3.144801713435084,-22.174637574493005,53.126526903397604,0.023636855196923476
MSFT,317.01001,9.75598075222723,13.139379967067306,14.369681797580768,19.468255458531406,6.105784444644372,-50.61912044945433,26.89568178783901,-0.08945620927332931
AMZN,129.119995,5.113592444570386,6.849224812378699,7.661555704136703,9.950526807907266,3.1568330792268005,-21.17559410901299,18.162302864159813,-0.0756272786507637
NVDA,416.100006,22.047864366156603,31.435783538215343,34.55050917752635,51.17483492872847,14.682632528502666,-443.92793008034204,114.95568770669024,-1.1565398795089736
GOOGL,130.25,4.413477890006035,6.017524773474204,6.954142538489521,8.802800776696717,2.7375002435001905,-15.616086283002616,13.00035221508702,-0.04658656857832734
TSLA,244.880005,14.762450945289146,21.69237302163628,25.159766154163236,34.18944317122989,9.727415761072887,-101.04130528480047,113.2168732898107,-0.10655057335254123
GOOG,131.25,4.514692411126987,6.065659602962282,7.017969854753943,8.82257297648555,2.7806469393629554,-14.611031660522642,12.215200476119065,-0.03820060145917407
BRK-B,360.160004,6.378124958032288,7.932543002623584,8.805452873805962,10.298001852089179,3.896860330701292,-15.06128012685997,13.110681120274194,-0.024077474971339986
META,299.079987,13.418450041909466,19.73191992848764,22.32246246090415,32.89839765491732,8.72366641420438,-77.16893971239395,65.8059836780642,-0.3208999890061727
UNH,506.100006,10.486383591938477,15.977372400273051,18.294635221852957,26.772714138699133,7.369104085438426,-65.21440240437096,61.400160943941614,0.39317386102680146
XOM,114.940002,3.2878962057253034,4.100073874873385,4.627084924587592,5.2793152030561785,1.9790467175442903,-7.447390376660849,7.804090633061676,-0.011855155862604739
LLY,550.539978,13.55684595661694,19.589715964638156,23.553236029367326,30.558706159452996,8.749082274804914,-57.602213006420925,72.7824346528522,-0.07598148361984342
JPM,145.729996,3.459232557125688,4.764171149067492,5.388877959450241,7.042481811718452,2.2778790942062828,-18.766862428750272,35.48418355187499,-0.10712896925200362
JNJ,160.5,2.373716222137091,3.5336768002496743,4.112222865544311,5.665549904312859,1.6141956358627054,-10.977903584596731,13.479294136037595,0.026449523579575952
V,235.080002,4.916787415502313,6.3243650488073655,7.184849818350983,8.762288214207105,2.9453891286543334,-14.310910805038446,12.417077983151643,-0.05670079607628484
PG,151.580002,2.3418712945937727,3.1383333466389667,3.623576939170306,4.601334404334975,1.482349450146772,-8.03720265101444,7.134265610329152,0.0563856844885506
MA,402.220001,9.026299205147609,11.263503134504626,12.636909718895879,14.581776566140539,5.344745164925715,-23.134751475613655,19.234838117430286,-0.00014494279098761352
AVGO,829.080017,26.8310987463243,38.51167742801446,41.05028292294003,63.71793476732787,17.78299073709177,-361.41659290480374,132.61770721327025,-0.7539065096998796
HD,305.730011,7.558246875175996,9.99134342355225,11.424916604040277,14.362989729802175,4.751121699854262,-25.729482980350838,24.273298161434013,0.13549518413453893
CVX,166.279999,4.349989856456517,5.676938472031514,6.441587045207086,8.004880333059347,2.683744883395688,-17.743414869499986,22.91246864194511,0.021805184882985867
MRK,106.339996,2.0710179426609727,2.9628178006734265,3.465133856734397,4.45256251384439,1.3414669648064284,-7.0730101203120626,12.418299735546896,0.053200988937582634
ABBV,152.740005,2.9386048913794696,4.0953377431397815,4.824871924873605,6.162447311552605,1.9554965196623808,-12.082117190987987,15.35017376243411,0.103813446316123
COST,558.590027,11.903832177759568,15.752188465239485,17.989046629356835,21.984020728994096,7.259074973127232,-33.32092409670895,37.06634739260119,-0.037814553966469135
PEP,175.270004,2.7823894876306383,3.8371326345536563,4.346891258009862,5.712467682793087,1.718338379923619,-9.37908159039057,12.02979464925778,-0.006214086757905454
ADBE,512.900024,18.835338277026494,25.878746889202155,29.7930480997897,39.56008445301407,12.446441635964158,-114.8915888060713,165.13644004725734,0.22891512918701878
WMT,162.350006,2.5630378324201217,3.4944114481295694,4.067934134229944,4.910137987758859,1.6494727697071059,-13.030949370215836,12.589244846140389,0.009614701244973128
KO,57.599998,0.8416049090129079,1.1161641500417196,1.2860359223061266,1.5430324704090659,0.514716175515327,-2.649257634781371,1.9298749789739489,0.008259067764007389
CSCO,53.57,1.1057301907674173,1.5590293593735054,1.7212678644275954,2.5221965665603574,0.7447276761316612,-8.763395901159498,5.665741049731224,0.0209196637952357
CRM,206.429993,7.078184959289388,9.95666546960944,11.475596377725225,15.066734046519292,4.789692011351954,-26.370005912440917,78.95772394072415,0.013910269527276654
MCD,272.220001,4.246895019152134,5.825302229103797,6.611217352901008,8.773632957582647,2.6924185830597986,-20.398915848858763,17.353829351366414,0.04689447693630807
ACN,316.089996,8.374471678244902,10.958405582962666,12.69199308272539,14.827939756527122,5.237698577202185,-19.92515504182387,24.241229284677104,0.09286957930032606
BAC,27.639999,0.7720135929201177,1.0243933673682148,1.170712904504196,1.4213260213412946,0.4756237665244643,-2.60749161994859,4.403432072581783,-0.023317025271561247
TMO,502.790009,12.717932804926079,17.92319124453602,20.70394408107245,26.986997277294876,8.138549488995631,-51.923366838931884,55.9217950499887,0.16715162543772344
CMCSA,45.299999,1.1991459355499643,1.613300657913114,1.8356968603471913,2.3622455812026097,0.7599699533865586,-6.007036071905226,4.280671007273995,-0.012143379720151238
PFE,32.689999,0.6983147875345068,1.0465754624946062,1.2625636697072622,1.7693213526328295,0.4617878831727063,-5.837957958174524,3.2938690597036597,-0.010343322720984875
LIN,372.950012,8.276092721730606,11.411873098559587,12.630942562296752,17.727894895760386,5.322292775978615,-43.14141316946365,62.61966012272467,-0.0010693089224846403
ORCL,109.029999,2.8939331332151,4.0520667158577135,4.493520374727126,6.247558768205468,1.9053565524936742,-15.330362289471637,17.175688286515495,0.026969746861834603
